brand,n_samples,general_mae,specific_mae,improvement_pct,better_model
Hyundai,1040,0.08366846338016015,0.08011456091738398,4.247600970784523,Specific
Mercedes,3506,0.08500316819912096,0.08345931203400886,1.8162336743679939,Specific
VW,3138,0.07463374602632383,0.07535316160374388,-0.9639280027111335,General
Ford,4697,0.07702994839677922,0.07795930240287753,-1.2064840045215035,General
Opel,2760,0.08112400929070128,0.08424429591340286,-3.8463170767611987,General
Skoda,1301,0.0856026658095021,0.09222053569880144,-7.730915651653388,General
Toyota,1441,0.07566544131067152,0.08240132850672968,-8.902197726438379,General
BMW,2673,0.08589453093351102,0.09372626764111322,-9.11785258326234,General
Audi,2236,0.07743045616063791,0.08522996457411464,-10.072920657080713,General
