label,mae,rmse,r2,mape,n_samples
General Model,0.0802071993779132,0.11448592503316728,0.9534064439056209,0.8439313684005998,22792
Brand-Specific Models (Hybrid),0.08296325719901389,0.12342558899335895,0.9458458081200545,0.8747703656082224,22792
