label,mae,rmse,r2,mape,n_samples
General Model,0.07928055707536627,0.11466676337212074,0.9532591322438437,0.8340039653542245,22792
Brand-Specific Models (Hybrid),0.08174469920971422,0.12083121810002233,0.9480984927801904,0.8621888992337654,22792
