brand,n_samples,general_mae,specific_mae,improvement_pct,better_model
Hyundai,1040,0.08306467067328918,0.08067980191840833,2.871098790316091,Specific
Mercedes,3506,0.08572710921519965,0.08373155956860973,2.3277929990389823,Specific
VW,3138,0.07495955050248937,0.0748691942406247,0.12054002626612326,Specific
Ford,4697,0.0771524658779515,0.07798113808707187,-1.0740709317460442,General
Opel,2760,0.08139616914123662,0.08440644588871112,-3.698302732467831,General
Skoda,1301,0.08673250257286695,0.09310356500718003,-7.345645802114996,General
BMW,2673,0.08736597171619485,0.09485961647986435,-8.57730374477185,General
Toyota,1441,0.07427157648860241,0.08204734856172341,-10.469377978417157,General
Audi,2236,0.07710408619359892,0.08585987625771226,-11.355805504430236,General
